id,name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,birth_date,birth_place,birth_country,residence_place,residence_country,lang,familyName,firstName,iso_country
346,OCAMPO Daiana,OCAMPO D,Daiana OCAMPO,Female,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,16/02/1991,PILAR,Argentina,PILAR,Argentina,Spanish,OCAMPO,Daiana,AR
347,ARCHIBALD Emanuel,ARCHIBALD E,Emanuel ARCHIBALD,Male,Athlete,GUY,Guyana,Guyana,Guyana,Guyana,GUY,09/09/1994,,,,Jamaica,,ARCHIBALD,Emanuel,
348,ABRAMS Aliyah,ABRAMS A,Aliyah ABRAMS,Female,Athlete,GUY,Guyana,Guyana,United States,United States of America,USA,03/04/1997,"NEW YORK, NY",United States,,United States,English,ABRAMS,Aliyah,US
349,NOEL Raekwon Jibril,NOEL RJ,Raekwon Jibril NOEL,Male,Athlete,GUY,Guyana,Guyana,United States,United States of America,USA,21/12/2005,,,,,English,NOEL,Raekwon Jibril,
350,PERSAUD Aleka Kylela,PERSAUD AK,Aleka Kylela PERSAUD,Female,Athlete,GUY,Guyana,Guyana,Guyana,Guyana,GUY,24/02/2006,,,,,,PERSAUD,Aleka Kylela,
351,ALLERS-LIBURD Zahria,ALLERS-LIBURD Z,Zahria ALLERS-LIBURD,Female,Athlete,SKN,St Kitts and Nevis,Saint Kitts and Nevis,St Kitts and Nevis,Saint Kitts and Nevis,SKN,06/03/2002,,,"TAMPA, FL",United States,English,ALLERS-LIBURD,Zahria,
352,TRAORE Cheickna,TRAORE C,Cheickna TRAORE,Male,Athlete,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,CIV,21/10/2000,,Côte d'Ivoire,,United States,English,TRAORE,Cheickna,CI
353,TIE Whitney,TIE W,Whitney TIE,Female,Athlete,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,CIV,07/04/1999,,,,,French,TIE,Whitney,
354,SIDHU Vijayveer,SIDHU V,Vijayveer SIDHU,Male,Athlete,IND,India,India,India,India,IND,21/06/2002,MANSA,,CHANDIGARH,India,English,SIDHU,Vijayveer,
355,TOMAR Aishwary Pratap Singh,TOMAR APS,Aishwary Pratap Singh TOMAR,Male,Athlete,IND,India,India,India,India,IND,03/02/2001,RATANPUR,India,BHOPAL,India,English,TOMAR,Aishwary Pratap Singh,IN
356,NARUKA Anant Jeet Singh,NARUKA AJS,Anant Jeet Singh NARUKA,Male,Athlete,IND,India,India,India,India,IND,01/07/1998,JAIPUR,India,JAIPUR,India,"English, Hindi",NARUKA,Anant Jeet Singh,IN
357,ANISH Anish,ANISH A,Anish ANISH,Male,Athlete,IND,India,India,India,India,IND,26/09/2002,SONIPAT,India,DELHI,India,English,ANISH,Anish,IN
358,BABUTA Arjun,BABUTA A,Arjun BABUTA,Male,Athlete,IND,India,India,India,India,IND,24/01/1999,JALALABAD,India,CHANDIGARH,India,English,BABUTA,Arjun,IN
359,CHEEMA Arjun Singh,CHEEMA AS,Arjun Singh CHEEMA,Male,Athlete,IND,India,India,India,India,IND,13/06/2001,MANDI GOBINDGARM,India,PUNJAB,India,English,CHEEMA,Arjun Singh,IN
360,BOUSHITA Abderrahmane,BOUSHITA A,Abderrahmane BOUSHITA,Male,Athlete,MAR,Morocco,Morocco,Morocco,Morocco,MAR,05/09/1997,RABAT,Morocco,PARIS,Morocco,"Arab, English, French",BOUSHITA,Abderrahmane,MA
361,SINGH Sandee,SINGH S,Sandeep SINGH,Male,Athlete,IND,India,India,India,India,IND,20/01/1996,FARIDKOT,India,,,,SINGH,Sandee,IN
362,SAMRA Sift Kaur,SAMRA SK,Sift Kaur SAMRA,Female,Athlete,IND,India,India,India,India,IND,09/09/2001,SRI GANGANAGAR,India,FARIDKOT,India,English,SAMRA,Sift Kaur,IN
363,SINGH Esha,SINGH E,Esha SINGH,Female,Athlete,IND,India,India,India,India,IND,01/01/2005,SECUNDERABAD,India,HYDERABAD,India,English,SINGH,Esha,IN
364,RAMITA Ramita,RAMITA R,Ramita RAMITA,Female,Athlete,IND,India,India,India,India,IND,16/01/2004,,,,,,RAMITA,Ramita,
365,KUMARI Rajeshwari,KUMARI R,Rajeshwari KUMARI,Female,Athlete,IND,India,India,India,India,IND,10/12/1991,,,,,"Englsh, Hindi",KUMARI,Rajeshwari,
366,SANGWAN Rhythm,SANGWAN R,Rhythm SANGWAN,Female,Athlete,IND,India,India,India,India,IND,29/11/2003,,,FARIDABAD,India,English,SANGWAN,Rhythm,
367,SEN Lakshya,SEN L,Lakshya SEN,Male,Athlete,IND,India,India,India,India,IND,16/08/2001,ALMORA,India,BANGALORE,India,"English, Hindi",SEN,Lakshya,IN
368,di TELLA Pascual Maria,di TELLA PM,Pascual Maria di TELLA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,16/09/1995,BUENOS AIRES,Argentina,"BROOKLYN, NY",United States,"English, French, Spanish",TELLA,di Pascual Maria,AR
369,DARRAGH Rachael,DARRAGH R,Rachael DARRAGH,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,24/09/1997,DONEGAL,Ireland,DUBLIN,Ireland,English,DARRAGH,Rachael,IE
370,McNULTY Harry,McNULTY H,Harry McNULTY,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,05/03/1993,MANAMA,Bahrain,DUBLIN,Ireland,English,,McNULTY Harry,BH
371,MOLLEN Bryan,MOLLEN B,Bryan MOLLEN,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,25/09/1995,NAIROBI,Kenya,DUBLIN,Ireland,English,MOLLEN,Bryan,KE
372,KENNEDY Terry,KENNEDY T,Terry KENNEDY,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,04/07/1996,DUBLIN,Ireland,DUBLIN,Ireland,English,KENNEDY,Terry,IE
373,WALSH Grainne,WALSH G,Grainne WALSH,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,13/10/1995,DUBLIN,Ireland,TULLAMORE,Ireland,"English, German, Italian",WALSH,Grainne,IE
374,PASSMORE Jake,PASSMORE J,Jake PASSMORE,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,12/06/2005,BRADFORD,Great Britain,LEEDS,Great Britain,English,PASSMORE,Jake,GB
375,HEALY Sarah,HEALY S,Sarah HEALY,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,13/02/2001,MONKSTOWN,Ireland,DUBLIN,Ireland,English,HEALY,Sarah,IE
376,McCANN Luke,McCANN L,Luke McCANN,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,12/03/1998,GLENAGEARY,Ireland,DUBLIN,Ireland,English,,McCANN Luke,IE
377,McCORMACK Fionnuala,McCORMACK F,Fionnuala McCORMACK,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,24/09/1984,WICKLOW,Ireland,WICKLOW,Ireland,"English, French, Gaelic",,McCORMACK Fionnuala,IE
378,CATTERSON Victoria,CATTERSON V,Victoria CATTERSON,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,25/03/2001,BELFAST,Great Britain,ABBOTSTOWN,Ireland,English,CATTERSON,Victoria,GB
379,FERGUSON Conor,FERGUSON C,Conor FERGUSON,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,11/10/1999,BELFAST,Ireland,LOUGHBOROUGH,Great Britain,English,FERGUSON,Conor,IE
380,WIFFEN Daniel,WIFFEN D,Daniel WIFFEN,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,14/07/2001,MAGHERALIN,Great Britain,LOUGHBOROUGH,Great Britain,English,WIFFEN,Daniel,GB
381,ARMITAGE Megan,ARMITAGE M,Megan ARMITAGE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,12/08/1996,SHINRONE,Ireland,NICE,France,"English, French, Irish",ARMITAGE,Megan,IE
382,GILLESPIE Lara,GILLESPIE L,Lara GILLESPIE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,21/04/2001,CARLOW,Ireland,WICKLOW,Ireland,English,GILLESPIE,Lara,IE
383,MURPHY Kelly,MURPHY K,Kelly MURPHY,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,03/11/1989,LONDON,Great Britain,BIRMINGHAM,Great Britain,English,MURPHY,Kelly,GB
384,GRIFFIN Mia,GRIFFIN M,Mia GRIFFIN,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,30/12/1998,GLENMORE,Ireland,,Ireland,English,GRIFFIN,Mia,IE
385,CREIGHTON Erin,CREIGHTON E,Erin CREIGHTON,Female,Alternate Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,06/03/2004,,,,,,CREIGHTON,Erin,
386,SHARPE Alice,SHARPE A,Alice SHARPE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,03/05/1994,CAMBRIDGE,Great Britain,,,English,SHARPE,Alice,GB
387,HEALY Ben,HEALY B,Ben HEALY,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,11/09/2000,KINGSWINFORD,Great Britain,,,English,HEALY,Ben,GB
388,MAGUIRE Leona,MAGUIRE L,Leona MAGUIRE,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,30/11/1994,COUNTY CAVAN,Ireland,COUNTY CAVAN,Ireland,English,MAGUIRE,Leona,IE
389,Mc CLENAGHAN Rhys,Mc CLENAGHAN R,Rhys MC CLENAGHAN,Male,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,21/07/1999,ANTRIM,Great Britain,NEWTOWNARDS,Great Britain,English,CLENAGHAN,Mc Rhys,GB
390,MURTAGH Fiona,MURTAGH F,Fiona MURTAGH,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,11/07/1995,GORTACHALLA,Ireland,,,English,MURTAGH,Fiona,IE
391,MAGNER Imogen,MAGNER I,Imogen MAGNER,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,08/07/1998,,Great Britain,,Ireland,"English, Spanish",MAGNER,Imogen,GB
392,LONG Natalie,LONG N,Natalie LONG,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,13/06/1990,,South Africa,,Ireland,English,LONG,Natalie,ZA
393,CASEY Aoife,CASEY A,Aoife CASEY,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,01/06/1999,,,SKIBBEREEN,Ireland,English,CASEY,Aoife,
394,KEOGH Aifric,KEOGH A,Aifric KEOGH,Female,Athlete,IRL,Ireland,Ireland,Ireland,Ireland,IRL,09/07/1992,FURBO,Ireland,FURBO,Ireland,"English, French, Gaelic",KEOGH,Aifric,IE
395,TOSTI Alejandro,TOSTI A,Alejandro TOSTI,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,30/05/1996,ROSARIO,Argentina,,,"English, Spanish",TOSTI,Alejandro,AR
396,BAR Juan,BAR J,Juan BAR,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,29/06/1987,BUENOS AIRES,Argentina,PAMPLONA,Spain,Spanish,BAR,Juan,AR
397,BONANNO Nicolas,BONANNO N,Nicolas BONANNO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,18/11/1991,BUENOS AIRES,Argentina,PAMPLONA,Spain,Spanish,BONANNO,Nicolas,AR
398,FERNANDEZ Federico,FERNANDEZ F,Federico FERNANDEZ,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,17/10/1989,TIGRE,Argentina,SAN FERNANDO,Argentina,Spanish,FERNANDEZ,Federico,AR
399,FISCHER Guillermo,FISCHER G,Guillermo FISCHER,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,18/07/1996,MISIONES,Argentina,ARANDA DE DUERO,Spain,Spanish,FISCHER,Guillermo,AR
400,MACIEL Leonel,MACIEL L,Leonel MACIEL,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,04/01/1989,BUENOS AIRES,Argentina,LISBON,Portugal,Spanish,MACIEL,Leonel,AR
401,PENRUDDOCKE Adriana,PENRUDDOCKE A,Adriana PENRUDDOCKE,Female,Athlete,BER,Bermuda,Bermuda,United States,United States of America,USA,14/06/2000,"MORRISTOWN, NJ",United States,,Bermuda,English,PENRUDDOCKE,Adriana,US
402,MARTINEZ CAMI Pedro,MARTINEZ CAMI P,Pedro MARTINEZ CAMI,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,20/12/1999,BUENOS AIRES,Argentina,,Argentina,Spanish,MARTINEZ CAMI,Pedro,AR
403,WEBSTER Charlotte,WEBSTER C,Charlotte WEBSTER,Female,Athlete,CAY,Cayman Islands,Cayman Islands,Great Britain,Great Britain,GBR,17/03/2004,,Cayman Islands,EXETER,Great Britain,English,WEBSTER,Charlotte,KY
404,MOSCARIELLO Lucas,MOSCARIELLO L,Lucas MOSCARIELLO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,19/02/1992,BUENOS AIRES,Argentina,BENIDORM,Spain,Spanish,MOSCARIELLO,Lucas,AR
405,MOYANO Andres,MOYANO A,Andres MOYANO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,28/07/1996,MENDOZA,Argentina,GRANOLLERS,Spain,Spanish,MOYANO,Andres,AR
406,MOURINO Gaston,MOURINO G,Gaston MOURINO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,12/10/1994,BUENOS AIRES,Argentina,CONSTANTA,Romania,Spanish,MOURINO,Gaston,AR
407,PARKER James,PARKER J,James PARKER,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,09/06/1994,SAN NICOLAS,Argentina,CAIRO,Egypt,Spanish,PARKER,James,AR
408,PIZARRO Federico,PIZARRO F,Federico PIZARRO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,07/09/1986,LANUS,Argentina,CUENCA,Spain,"English, Spanish",PIZARRO,Federico,AR
409,CROOKS Jillian Janis Geohagan,CROOKS JJG,Jillian Janis Geohagan CROOKS,Female,Athlete,CAY,Cayman Islands,Cayman Islands,Great Britain,Great Britain,GBR,27/06/2006,,United States,,United States,English,CROOKS,Jillian Janis Geohagan,US
410,HARVEY Emma,HARVEY E,Emma HARVEY,Female,Athlete,BER,Bermuda,Bermuda,Great Britain,Great Britain,GBR,23/07/2001,,,"STATE COLLEGE, PA",United States,English,HARVEY,Emma,
411,HAWLEY Erica,HAWLEY E,Erica HAWLEY,Female,Athlete,BER,Bermuda,Bermuda,Great Britain,Great Britain,GBR,29/05/1998,HAMILTON,Bermuda,"BOULDER, CO",United States,English,HAWLEY,Erica,BM
412,SMITH Tyler,SMITH T,Tyler SMITH,Male,Athlete,BER,Bermuda,Bermuda,Great Britain,Great Britain,GBR,26/09/1998,,Bermuda,"BOULDER, CO",United States,English,SMITH,Tyler,BM
413,ALEXUC CIURARIU Alin,ALEXUC CIURARIU A,Alin ALEXUC CIURARIU,Male,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,03/02/1990,BOTOSANI,Romania,BUCAREST,Romania,"English, Romanian",ALEXUC CIURARIU,Alin,RO
414,ARNAUT Razvan,ARNAUT R,Razvan ARNAUT,Male,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,28/09/1998,CONSTANTA,Romania,CONSTANTA,Romania,"English, Romanian",ARNAUT,Razvan,RO
415,ANA Andreea Beatrice,ANA AB,Andreea Beatrice ANA,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,14/11/2000,,,MANGALIA,Romania,Romanian,ANA,Andreea Beatrice,
416,AXENTE Catalina,AXENTE C,Catalina AXENTE,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,31/10/1995,GALATI,Romania,,,Romanian,AXENTE,Catalina,RO
417,INCZE Kriszta Tunde,INCZE KT,Kriszta Tunde INCZE,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,15/05/1996,SFANTU GHEORGHE,Romania,SFANTU GHEORGHE,Romania,"English, Romanian",INCZE,Kriszta Tunde,RO
418,TAZHUDINOV Akhmed,TAZHUDINOV A,Akhmed TAZHUDINOV,Male,Athlete,BRN,Bahrain,Bahrain,Bahrain,Bahrain,BRN,25/01/2003,DAGESTAN,Russian Federation,,,"English, Russian",TAZHUDINOV,Akhmed,RU
419,ERATI Kaimauri,ERATI K,Kaimauri ERATI,Male,Athlete,KIR,Kiribati,Kiribati,Kiribati,Kiribati,KIR,13/06/2004,,,,,,ERATI,Kaimauri,
420,MINASYAN Gor,MINASYAN G,Gor MINASYAN,Male,Athlete,BRN,Bahrain,Bahrain,Bahrain,Bahrain,BRN,25/10/1994,GYUMRI,Armenia,,Bahrain,"Armenian, Russian",MINASYAN,Gor,AM
421,MONTANO Lesman,MONTANO L,Lesman MONTANO,Male,Athlete,BRN,Bahrain,Bahrain,Bahrain,Bahrain,BRN,05/03/1996,CALI,Colombia,,Bahamas,Spanish,MONTANO,Lesman,CO
422,AIT BEKKA Jugurtha,AIT BEKKA J,Jugurtha AIT BEKKA,Male,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,04/03/1996,ORAN,Algeria,ORAN,Algeria,,AIT BEKKA,Jugurtha,DZ
423,KADI Mourad,KADI M,Mourad KADI,Male,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,26/06/1995,TIZI OUZOU,Algeria,NACIRIA,Algeria,"Arabic, French",KADI,Mourad,DZ
424,BOUALAM Roumaysa,BOUALAM R,Roumaysa BOUALAM,Female,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,10/10/1994,ORAN,Algeria,BLIDA,Algeria,"Arabic, French",BOUALAM,Roumaysa,DZ
425,KHELIF Imane,KHELIF I,Imane KHELIF,Female,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,02/05/1999,TIARET,Algeria,TIARET,Algeria,"Arabic, French",KHELIF,Imane,DZ
426,KHELIF Dounia,KHELIF D,Dounia KHELIF,Female,Athlete,ALG,Algeria,Algeria,Algeria,Algeria,ALG,01/09/1997,BEJAIA,Algeria,BEJAIA,Algeria,Arabic,KHELIF,Dounia,DZ
427,PIZARRO Ignacio,PIZARRO I,Ignacio PIZARRO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,08/02/1990,LANUS,Argentina,CUENCA,Spain,Spanish,PIZARRO,Ignacio,AR
428,SIMONET Pablo,SIMONET P,Pablo SIMONET,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,04/05/1992,VICENTE LOPEZ,Argentina,BENIDORM,Spain,"English, French, Portuguese, Spanish",SIMONET,Pablo,AR
429,SIMONET Diego,SIMONET D,Diego SIMONET,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,26/12/1989,VICENTE LOPEZ,Argentina,MONTPELLIER,France,"English, French, Portuguese, Spanish",SIMONET,Diego,AR
430,BONO Nicolas,BONO N,Nicolas BONO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,16/08/1997,BUENOS AIRES,Argentina,ISTRES,France,Spanish,BONO,Nicolas,AR
431,MONETA Marcos,MONETA M,Marcos MONETA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,07/03/2000,SAN ANDRES,Argentina,BUENOS AIRES,Argentina,Spanish,MONETA,Marcos,AR
432,VERA FELD Santiago,VERA FELD S,Santiago VERA FELD,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,29/03/2001,BUENOS AIRES,Argentina,,,Spanish,VERA FELD,Santiago,AR
433,OSADCZUK Matias,OSADCZUK M,Matias OSADCZUK,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,22/04/1997,BUENOS AIRES,Argentina,BUENOS AIRES,Argentina,Spanish,OSADCZUK,Matias,AR
434,ALVAREZ Santiago,ALVAREZ S,Santiago ALVAREZ,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,17/02/1994,BAHIA BLANCA,Argentina,BUENOS AIRES,Argentina,Spanish,ALVAREZ,Santiago,AR
435,SCHULZ German,SCHULZ G,German SCHULZ,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,05/02/1994,CORDOBA,Argentina,CORDOBA,Argentina,Spanish,SCHULZ,German,AR
436,PELLANDINI Joaquin,PELLANDINI J,Joaquin PELLANDINI,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,27/05/1999,,,,,"English, Spanish",PELLANDINI,Joaquin,
437,REVOL Gaston,REVOL G,Gaston REVOL,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,26/11/1986,CORDOBA,Argentina,,,Spanish,REVOL,Gaston,AR
438,OPTI Soren,OPTI S,Soren OPTI,Male,Athlete,SUR,Suriname,Suriname,Suriname,Suriname,SUR,16/05/1997,PARAMARIBO,Suriname,PARAMARIBO,Suriname,"Dutch, English",OPTI,Soren,SR
439,ELIZALDE Tomas,ELIZALDE T,Tomas ELIZALDE,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,18/11/2002,,,SALTA,Argentina,Spanish,ELIZALDE,Tomas,
440,WADE Tobias,WADE T,Tobias WADE,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,06/08/1999,,,BUENOS AIRES,Argentina,Spanish,WADE,Tobias,
441,GRAZIANO Matteo,GRAZIANO M,Matteo GRAZIANO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,21/07/2001,,Argentina,BUENOS AIRES,Argentina,Spanish,GRAZIANO,Matteo,AR
442,GONZALEZ Luciano,GONZALEZ L,Luciano GONZALEZ,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,10/04/1997,LA RIOJA,Argentina,VILLA GENERAL BELGRANO,Argentina,Spanish,GONZALEZ,Luciano,AR
443,FRAGA Agustin,FRAGA A,Agustin FRAGA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,06/03/2002,BUENOS AIRES,Argentina,,,Spanish,FRAGA,Agustin,AR
444,ISGRO Rodrigo,ISGRO R,Rodrigo ISGRO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,24/03/1999,MENDOZA,Argentina,BUENOS AIRES,Argentina,Spanish,ISGRO,Rodrigo,AR
445,DELL OLIO Matias,DELL OLIO M,Matias DELL OLIO,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,19/10/1996,MAR DEL PLATA,Argentina,AMSTERDAM,Netherlands,"English, Spanish",DELL OLIO,Matias,AR
446,GOMEZ SANCHEZ Manuela,GOMEZ SANCHEZ M,Manuela GOMEZ SANCHEZ,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,20/07/2000,LA MAGDALENA,Colombia,,,Spanish,GOMEZ SANCHEZ,Manuela,CO
447,SCHREUDERS Mikel,SCHREUDERS M,Mikel SCHREUDERS,Male,Athlete,ARU,Aruba,Aruba,Netherlands,Netherlands,NED,21/09/1998,ORANJESTAD,Aruba,MARSEILLE,France,"Dutch, English, Papiamento, Spanish",SCHREUDERS,Mikel,AW
448,WESTERA Ethan,WESTERA E,Ethan WESTERA,Male,Athlete,ARU,Aruba,Aruba,Netherlands,Netherlands,NED,03/10/1997,ORANJESTAD,Aruba,NOORD,Aruba,"Dutch, English",WESTERA,Ethan,AW
449,van AANHOLT Just,van AANHOLT J,Just van AANHOLT,Male,Athlete,ARU,Aruba,Aruba,Netherlands,Netherlands,NED,24/11/1995,CURACAO,Netherlands Antilles,HILVERSUM,Netherlands,"Dutch, English",AANHOLT,van Just,
450,ELHAGE Phili,ELHAGE P,Philip ELHAGE,Male,Athlete,ARU,Aruba,Aruba,Netherlands,Netherlands,NED,11/04/1982,WILLEMSTAD,Curaçao,WILLEMSTAD,Curaçao,"Dutch, English, Papiamentu, Spanish",ELHAGE,Phili,NL
451,HOWELL Shanayah,HOWELL S,Shanayah HOWELL,Female,Athlete,ARU,Aruba,Aruba,Netherlands,Netherlands,NED,07/04/1999,,Aruba,,Aruba,"English, Papiamento, Spanish",HOWELL,Shanayah,AW
452,ARIAS CASTANEDA Yeni Marcela,ARIAS CASTANEDA YM,Yeni Marcela ARIAS CASTANEDA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,23/12/1990,CALI,Colombia,PEREIRA,Colombia,Spanish,ARIAS CASTANEDA,Yeni Marcela,CO
453,VALENCIA VICTORIA Ingrit Lorena,VALENCIA VICTORIA,Ingrit Lorena VALENCIA VICTORIA,Female,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,03/09/1988,MORALES,Colombia,IBAGUE,Colombia,Spanish,VALENCIA VICTORIA,Ingrit Lorena,CO
454,GONZALEZ LANDAZURY Yilmar Leandro,GONZALEZ LANDAZURY,Yilmar Leandro GONZALEZ LANDAZURY,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,10/03/1993,PUERTO TEJADA,Colombia,CALI,Colombia,Spanish,GONZALEZ LANDAZURY,Yilmar Leandro,CO
455,RODRIGUEZ John Edison,RODRIGUEZ JE,John Edison RODRIGUEZ,Male,Athlete,COL,Colombia,Colombia,Colombia,Colombia,COL,24/01/1991,BUGA,Colombia,PARIS,France,"French, Spanish",RODRIGUEZ,John Edison,CO
456,ZUMAYA FLORES Goretti Alejandra,ZUMAYA FLORES GA,Goretti Alejandra ZUMAYA FLORES,Female,Athlete,MEX,Mexico,Mexico,Mexico,Mexico,MEX,31/05/1997,SALAMANCA,Mexico,LEON,Mexico,Spanish,ZUMAYA FLORES,Goretti Alejandra,MX
457,GBAI Jessika,GBAI J,Jessika GBAI,Female,Athlete,CIV,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,CIV,29/12/1998,DALOA,Côte d'Ivoire,FLORIDA,United States,"English, French",GBAI,Jessika,CI
458,BORDACHYOVA Ekaterina,BORDACHYOVA E,Ekaterina BORDACHYOVA,Female,Athlete,TJK,Tajikistan,Tajikistan,Tajikistan,Tajikistan,TJK,17/05/2003,,,,,,BORDACHYOVA,Ekaterina,
459,DRAGAN Annaliese,DRAGAN A,Annaliese DRAGAN,Female,Athlete,ROU,Romania,Romania,Romania,Romania,ROU,15/09/2005,CALIFORNIA,United States,"IRVINE, CA",United States,,DRAGAN,Annaliese,US
460,TEIXEIRA SANTANA Herminia,TEIXEIRA SANTANA H,Herminia TEIXEIRA SANTANA,Female,Athlete,STP,Sao Tome & Principe,Sao Tome and Principe,Sao Tome & Principe,Sao Tome and Principe,STP,25/09/2003,,,,,Portuguese,TEIXEIRA SANTANA,Herminia,
461,GOLUBIC Marko,GOLUBIC M,Marko GOLUBIC,Male,Athlete,CRO,Croatia,Croatia,Croatia,Croatia,CRO,26/07/2000,DUBRAVA,Croatia,ZAGREB,Croatia,Croatian,GOLUBIC,Marko,HR
462,ALONSO ALDERETE Alejandra,ALONSO ALDERETE A,Alejandra ALONSO ALDERETE,Female,Athlete,PAR,Paraguay,Paraguay,Paraguay,Paraguay,PAR,01/10/1996,ASUNCION,Paraguay,ASUNCION,Paraguay,"English, Spanish",ALONSO ALDERETE,Alejandra,PY
463,BIAGIOLI Romina,BIAGIOLI R,Romina BIAGIOLI,Female,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,03/04/1989,CORDOBA,Argentina,CORDOBA,Argentina,Spanish,BIAGIOLI,Romina,AR
